Sr no.,Description,Designator,VALUE,Wattage,Tolerance,Part number,Make,Footprint,Quantity,Remark,Component qty as per PCB qty
1,TP150 1.5mm TestPoint,"E, F, H, J, K, L, M, N, P, Q, R, S, T, U, V",,,,,,TP150,48,NOP,
1,TP150 1.5mm TestPoint,"1E, 1F, 1G, 1H, 1J, A, B, C, D, ",,,,,,TP150,48,NOP,
1,TP150 1.5mm TestPoint,"T1, T1A, T2, T2A, T3, T3A, T4, T4A, T5, T5A, T6, T6A, ",,,,,,TP150,48,NOP,
1,TP150 1.5mm TestPoint,"T7, T7A, T8, T8A, T9, T9A, T10, T10A, T11, T11A, T12, T12A",,,,,,TP150,48,NOP,
2,CERCAP C0603 Package,"C1, C2,  C4, C5,  C7, C8, C10, C11,  C13, C14,  C16, C17,  C19, ",3.3nF/16V,,± 5%,AC0603JRX7R7BB332,YAGEO PHICOMP,CERCAP0603,24,,#REF!
2,CERCAP C0603 Package,"C20,  C22, C23,  C25, C26,  C28, C29,  C31, C32,  C34, C35,  ",3.3nF/16V,,± 5%,AC0603JRX7R7BB332,YAGEO PHICOMP,CERCAP0603,24,,#REF!
3,CERCAP C0603 Package,"C3, C6, C9, C12, C15, C18, C21, C24, C27, C30, C33, C36, ",100nf/16V,,± 5%,AC0603JRX7R7BB104,YAGEO PHICOMP,CERCAP0603,16,,#REF!
3,CERCAP C0603 Package,"CP2,DC1, DC3,DC5",100nf/16V,,± 5%,AC0603JRX7R7BB104,YAGEO PHICOMP,CERCAP0603,16,,#REF!
4,CERCAP C0603 Package,"CP1,",100pF/16V,,± 5%,AC0603JRNPO7BB101,YAGEO PHICOMP,CERCAP0603,1,,#REF!
5,CERCAP C1206 Package,"CS1, CS2",10nF/500V,,± 5%,AC1206JRX7RBBB103,YAGEO PHICOMP,CERCAP1206,2,,#REF!
6,TANTALUM CAPACITOR CASE-B PACKAGE,"CR1, CR2, CR3, CR4",10uF/16V,,± 10%,TAJB106K016RNJ,AVX,TANCAP-CASEB,4,,#REF!
7,TANTALUM CAPACITOR CASE-B PACKAGE,CC2,1uF/16V,,± 10%,TAJB105K016RNJ,AVX,TANCAP-CASEB,1,NOP,100
8,TANTALUM CAPACITOR CASE-D PACKAGE,CP4,100uF/16V,,± 10%,TAJD107K016RNJ,AVX,TANCAP-CASED,1,,#REF!
9,ELCAP-CASE-C SMD Package,CP3,4.7uF/50V,,± 20%,EEE1HA4R7AR,PANASONIC/ELNA,ELCAP-CASEC,1,,#REF!
10,NANO RESISTOR,"NB1, NB2,",0E,1/10 watt,± 1%,AC0603FR070RL,YAGEO PHICOMP,R0603,2,,#REF!
10,NANO RESISTOR," SR2,SR1",0E,1/10 watt,± 1%,AC0603FR070RL,YAGEO PHICOMP,R0603,2,NOP,#REF!
11,NANO RESISTOR,"R1, R7, R13, R19, R25, R31, R37, R43, R49, R55, R61, R67, ",1K,1/10 watt,± 1%,AC0603FR071KL,YAGEO PHICOMP,R0603,12,,#REF!
12,NANO RESISTOR,"R2, R5, R8, R11, R14, R17, R20, R23, R26, R29, R32, R35, ",330K,1/10 watt,± 1%,AC0603FR07330KL,YAGEO PHICOMP,R0603,24,,#REF!
12,NANO RESISTOR,"R38, R41, R44, R47, R50, R53, R56, R59, R62, R65, R68, R71,",330K,1/10 watt,± 1%,AC0603FR07330KL,YAGEO PHICOMP,R0603,24,,#REF!
13,NANO RESISTOR,"R3, R6, R9, R12, R15, R18, R21, R24, R27, R30, R33, R36, ",5K1,1/10 watt,± 1%,AC0603FR075K1L,YAGEO PHICOMP,R0603,32,,#REF!
13,NANO RESISTOR,"R39, R42, R45, R48, R51, R54, R57, R60, R63, R66, R69, R72, ",5K1,1/10 watt,± 1%,AC0603FR075K1L,YAGEO PHICOMP,R0603,32,,#REF!
13,NANO RESISTOR,"RW1, RW3, RW4, RO2, RO3, RO12, RO13,SRO14",5K1,1/10 watt,± 1%,AC0603FR075K1L,YAGEO PHICOMP,R0603,32,,#REF!
14,NANO RESISTOR,"R4, R10, R16, R22, R28, R34, R40, R46, R52, R58, R64, R70,  ",51K,1/10 watt,± 1%,AC0603FR0751KL,YAGEO PHICOMP,R0603,12,,#REF!
15,NANO RESISTOR,"RW2, ",150E,1/10 watt,± 1%,AC0603FR07150RL,YAGEO PHICOMP,R0603,1,,#REF!
16,NANO RESISTOR,"RL1, RL2, RL3, RL4, RL5,",330E,1/10 watt,± 1%,AC0603FR07330RL,YAGEO PHICOMP,R0603,5,,#REF!
19,NANO RESISTOR,"RO1, RO11,PGR1,PGR2",1K,1/10 watt,± 1%,AC0603FR071KL,YAGEO PHICOMP,R0603,4,,#REF!
20,NANO RESISTOR,"RO4, RO5, RO14, RO15,",10E,1/10 watt,± 1%,AC0603FR0710RL,YAGEO PHICOMP,R0603,4,,#REF!
21,NANO RESISTOR,"RO6, RO8, RO9, RO16, RO18, RO19,",22K,1/10 watt,± 1%,AC0603FR0722KL,YAGEO PHICOMP,R0603,6,,#REF!
22,NANO RESISTOR,"RO10, RO20,",1K8,1/10 watt,± 1%,AC0603FR071K8L,YAGEO PHICOMP,R0603,2,,#REF!
23,NANO RESISTOR,"RO7, RO17,",2K2,1/10 watt,± 1%,AC0603FR072K2L,YAGEO PHICOMP,R0603,2,,#REF!
24,NANO RESISTOR,"RP3, ",6K8,1/10 watt,± 1%,AC0603FR076K8L,YAGEO PHICOMP,R0603,1,,#REF!
25,NANO RESISTOR,SRO13,15K,1/10watt,± 1%,AC0603FR0715KL,YAGEO PHICOMP,R0603,1,,100
26,NANO RESISTOR,"RP4, ",1K2,1/10 watt,± 1%,AC0603FR071K2L,YAGEO PHICOMP,R0603,1,,#REF!
27,SMD RESISTOR,"RP1, RP2",1E,1/4 watt,± 1%,AC1206FR071R0L,YAGEO PHICOMP,R1206,2,,#REF!
27,SMD RESISTOR,SZDO5,0E,1/4 watt,± 1%,AC1206FR070RL,YAGEO PHICOMP,R1206,1,,#REF!
28,P9111A08-11-1 2MM PITCH 8PIN STRAIGHT HEADER,J1,,,,,,P9111A05-11-1,1,NOP,#REF!
29,P9111A09-11-1 2MM PITCH 9PIN STRAIGHT HEADER,"P1, P2",,,,,,P9111A09-11-1,2,In house solder,#REF!
30,CGRMT4007HF  Rectifier Diode 1000V,"DF1, DF2, DS1,DO13,DO14",CGRMT4007HF,,,CGRMT4007HF,COMCHIP,SOD123H,5,,#REF!
31,PMLL4148L SOD80C PACKAGE HighSpeedSwitchingDiode,"DO1, DO2, DO3, DO4, DO5, DO6, DO7, DO8, DO9, DO10, DO11, DO12,
DCM1,DCM2 ,SDO13",PMLL4148',,,'PMLL4148L,NXP SEMICONDUCTOR,SOD80C,15,,#REF!
32,DFLS140 SCHOTTKY DIODE,DP1,DFLS140',,,DFLS140-7,DIODE INCORPORATE,DFLS140,1,,#REF!
33,BZV55 ZENER SOD80C Package,"DP2, DP3, ",5V1,,,"BZV55-C5V1,115",NXP SEMICONDUCTOR,SOD80ZD,2,,#REF!
34,BZV55 ZENER SOD80C Package,"ZD1, ZD2, ZD3, ZD4,",15V,,,"BZV55-C15,116",NXP SEMICONDUCTOR,SOD80ZD,4,,#REF!
35,RXEF030 Resettable Polyfuse,F1,GP72-30,,,RXEF030,TYCO ELECTRONICS,RXEF030HZTL,1,,#REF!
36,CT1210K25G MOV1210 PACKAGE ,MOV1,25V (CT1210K25G),,,B72530E0250K062,EPCOS,MOV1210,1,,#REF!
37,P6KE33CA DO-15 PACKAGE 33V BidirectionalTranzorb,TVS,33V,,,P6KE33CA,ST MICROELECTRONICS,DO-15,1,,#REF!
38,INDUCTOR 68uH 1616FPS,L1,68uH',,,1616FPS-680M-01,FASTRON,1616FPS,1,Provide by Orbital,#REF!
39,SMD LED PLCC2 PKD RED COLOUR,PWR,,,,LS T676-Q1R2-1-Z,OSRAM,TOPLED PLCC2,1,,#REF!
40,SMD LED PLCC2 PKD YELLOW LED,LOW,,,,LY T676-R1T1-26,OSRAM,TOPLED PLCC2,1,,#REF!
41,SMD LED PLCC2 PKD GREEN LED,HI,,,,LG T676-P2R1-24-Z,OSRAM,TOPLED PLCC2,1,,#REF!
42,SMD LED PLCC4 PKD DUAL COLOUR RED + GREEN,ST,,,,LSG T67K-JL-1+HK-1,OSRAM,TOPLED PLCC4,1,,#REF!
43,BC858 PNP Transistor SOT23 Package,"Q1, Q3, Q5, Q7, Q9, Q11, Q13, Q15, Q17, Q19, Q21, Q23",BC858,,,"BC858B,215",NXP SEMICONDUCTOR,SOT23,12,,#REF!
44,BC817 NPN Transistor SOT23 Package,"Q2, Q4, Q6, Q8, Q10, Q12, Q14, Q16, Q18, Q20, Q22, Q24",BC817 ,,,"BC817,215   40W",NXP SEMICONDUCTOR,SOT23,16,,#REF!
44,BC817 NPN Transistor SOT23 Package,"QO1, QO3, QO5, QO6,",BC817 ,,,"BC817,215   40W",NXP SEMICONDUCTOR,SOT23,16,,
45,CZT2955 SOT223-4 PACKAGE PNP POWER TRANSISTOR,"QO2, QO4",CZT2955',,,CZT2955,,SOT223-4,2,,#REF!
46,PT333-3B 5mm SENSOR LEADED,"S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12",PT333-3B,,,PT333-3B,EVERLIGHT,PT333-3B,12,In house solder,#REF!
47,STC11F04E  SOIC20W Package,"U1,'U3",STC11F04E  ,,,STC11F04E  ,STC,SOIC20W,2,Provide by Orbital,#REF!
48,WATCHDOG,"U2,'U4",MIC1232,,,MIC1232M,MICREL,SOIC8,2,NOP,#REF!
49,LM324 SOIC14 PACKAGE QUAD OP/AMP,U5,LM324,,,LM324DT,ST MICROELECTRONICS,SOIC14,1,,#REF!
50,DC to DC CONVERTER,UP1,MC34063,,,MC34063ADR2G,ON SEMICONDUCTOR or ST make,SOIC8,1,Provide by Orbital,#REF!
51,L78L05 SOT89 PACKAGE 5V REGULATOR,"VR1, VR2",L78L05,,,L78L05ACUTR,ST MICROELECTRONICS,SOT89,2,,#REF!
52,DSX321G CRYSTAL,"Y1, 'Y2",12MHz,,,,FRONTER ELECTRONICS,SMD3225,2,Provide by Orbital,#REF!
53,JUMPPIN1DIA,J2,,,,,,JUMPPIN1DIA,1,NOP,
